t_seconds,soc_percent
0,10.0
1,10.070466666666666
2,10.140940536592593
3,10.211421610514112
4,10.28190988916763
5,10.352405373289635
6,10.422908063616683
7,10.493417960885408
8,10.56393506583252
9,10.634459379194805
10,10.704990901709122
11,10.775529634112408
12,10.846075577141672
13,10.916628731534002
14,10.98718909802656
15,11.057756677356581
16,11.128331470261378
17,11.198913477478337
18,11.269502699744924
19,11.340099137798676
20,11.410702792377206
21,11.481313664218204
22,11.551931754059435
23,11.622557062638739
24,11.69318959069403
25,11.763829338963301
26,11.834476308184618
27,11.90513049909612
28,11.975791912436028
29,12.046460548942633
30,12.117136409354304
31,12.187819494409482
32,12.258509804846687
33,12.329207341404516
34,12.399912104821636
35,12.470624095836795
36,12.541343315188817
37,12.612069763616592
38,12.682803441859095
39,12.753544350655375
40,12.824292490744552
41,12.895047862865827
42,12.965810467758477
43,13.036580306161847
44,13.107357378815365
45,13.178141686458533
46,13.248933229830929
47,13.3197320096722
48,13.390538026722076
49,13.461351281720363
50,13.53217177540694
51,13.60299950852176
52,13.673834481804853
53,13.744676695996327
54,13.815526151836362
55,13.886382850065218
56,13.957246791423222
57,14.028117976650789
58,14.098996406488402
59,14.169882081676622
60,14.240775002956083
61,14.311675171067495
62,14.38258258675165
63,14.453497250749406
64,14.524419163801705
65,14.59534832664956
66,14.66628474003406
67,14.737228404696372
68,14.80817932137774
69,14.87913749081948
70,14.950102913762986
71,15.021075590949726
72,15.092055523121244
73,15.163042711019163
74,15.234037155385177
75,15.305038856961062
76,15.376047816488663
77,15.447064034709904
78,15.518087512366785
79,15.589118250201384
80,15.660156248955847
81,15.731201509372406
82,15.802254032193364
83,15.8733138181611
84,15.944380868018069
85,16.0154551825068
86,16.0865367623699
87,16.157625608350052
88,16.228721721190016
89,16.299825101632628
90,16.370935750420795
91,16.442053668297504
92,16.51317885600582
93,16.58431131428888
94,16.655451043889894
95,16.72659804555216
96,16.797752320019036
97,16.86891386803397
98,16.940082690340482
99,17.011258787682163
100,17.08244216080268
101,17.153632810445785
102,17.224830737355298
103,17.296035942275115
104,17.367248425949214
105,17.438468189121643
106,17.50969523253653
107,17.580929556938077
108,17.652171163070566
109,17.723420051678346
110,17.79467622350585
111,17.865939679297586
112,17.937210419798138
113,18.00848844575216
114,18.07977375790439
115,18.151066356999642
116,18.2223662437828
117,18.293673418998832
118,18.364987883392775
119,18.436309637709744
120,18.50763868269493
121,18.57897501909361
122,18.650318647651115
123,18.721669569112876
124,18.793027784224385
125,18.86439329373122
126,18.935766098379023
127,19.007146198913524
128,19.078533596080526
129,19.1499282906259
130,19.22133028329561
131,19.292739574835682
132,19.36415616599222
133,19.435580057511412
134,19.507011250139513
135,19.578449744622862
136,19.649895541707867
137,19.72134864214102
138,19.792809046668882
139,19.864276756038098
140,19.93575177099538
141,20.007234092287526
142,20.078723720661404
143,20.15022065686396
144,20.22172490164222
145,20.293236455743276
146,20.36475531991431
147,20.436281494902566
148,20.50781498145538
149,20.57935578032015
150,20.65090389224436
151,20.72245931797557
152,20.794022058261408
153,20.865592113849587
154,20.937169485487892
155,21.00875417392419
156,21.08034617990641
157,21.151945504182578
158,21.223552147500783
159,21.295166110609195
160,21.366787394256058
161,21.438415999189694
162,21.5100519261585
163,21.58169517591095
164,21.6533457491956
165,21.725003646761074
166,21.796668869356076
167,21.868341417729386
168,21.940021292629865
169,22.011708494806445
170,22.083403025008135
171,22.155104883984023
172,22.226814072483275
173,22.29853059125513
174,22.370254441048903
175,22.441985622613988
176,22.513724136699857
177,22.585469984056054
178,22.657223165432203
179,22.728983681578004
180,22.800751533243233
181,22.872526721177742
182,22.944309246131464
183,23.0160991088544
184,23.08789631009664
185,23.15970085060834
186,23.231512731139734
187,23.30333195244114
188,23.375158515262946
189,23.446992420355617
190,23.518833668469696
191,23.590682260355806
192,23.662538196764643
193,23.73440147844698
194,23.806272106153667
195,23.878150080635628
196,23.95003540264387
197,24.021928072929473
198,24.093828092243594
199,24.16573546133747
200,24.237650180962405
201,24.309572251869792
202,24.381501674811094
203,24.453438450537853
204,24.525382579801686
205,24.59733406335429
206,24.669292901947433
207,24.741259096332964
208,24.81323264726281
209,24.885213555488978
210,24.95720182176354
211,25.02919744683865
212,25.101200431466552
213,25.173210776399547
214,25.24522848239002
215,25.31725355019044
216,25.38928598055335
217,25.461325774231362
218,25.533372931977173
219,25.605427454543552
220,25.677489342683344
221,25.749558597149484
222,25.821635218694972
223,25.893719208072884
224,25.965810566036374
